Date,inflation,SPyield,unemployment,UMCSENT,homeindex,Action,Adventure,Comedy,Drama,Horror,ThrillerSuspense
200601,0.091618595,0.305601256,4.7,86.7,0.0914,0.152123266,0.23189711699999999,0.274551759,0.230195165,0.11123269300000001,0.0
200602,0.026267047999999998,0.005437892,4.8,88.9,0.0914,0.076488629,0.344048856,0.239366673,0.132611095,0.15646079400000001,0.051023953
200603,0.068548387,0.133149726,4.7,87.4,0.0914,0.18358391699999999,0.28309632,0.225793837,0.100863365,0.11554536800000001,0.09111719300000001
200604,0.098229201,0.145867833,4.7,79.1,0.071,0.06912678,0.22319667699999998,0.331895373,0.211192565,0.101816696,0.062771908
200605,0.05965203,-0.371002994,4.6,84.9,0.071,0.33740223,0.25113156,0.09711466099999999,0.083424443,0.061259880999999995,0.169667225
200606,0.025721352000000003,0.001039155,4.6,84.7,0.071,0.089090967,0.39098032200000005,0.330171379,0.119996369,0.069760962,0.0
200607,0.035538006000000004,0.061030546,4.7,82.0,0.0455,0.097908294,0.47622737600000004,0.275705118,0.077452544,0.036131284,0.036575382999999996
200608,0.025590551,0.255290316,4.7,85.4,0.0455,0.059640152,0.16902532,0.319802,0.333767449,0.062333459,0.05543162
200609,-0.058929447999999995,0.294795582,4.5,93.6,0.0455,0.17559206600000002,0.21887443199999998,0.158551938,0.317386614,0.052127904,0.077467046
200610,-0.065142293,0.378096036,4.4,92.1,0.0288,0.086221794,0.098864644,0.19486668199999999,0.357115201,0.20569499800000002,0.05723668
200611,-0.019847833,0.197599881,4.5,91.7,0.0288,0.18180888,0.345312581,0.27500396899999996,0.10376408,0.038445723,0.055664767000000004
200612,0.017892644,0.151389394,4.4,96.9,0.0288,0.120049145,0.295024627,0.081759931,0.40701441,0.067666753,0.028485133
200701,0.036684864,0.168708513,4.6,91.3,0.02,0.12374009400000001,0.318944727,0.20413678600000001,0.191980025,0.066865625,0.09433274300000001
200702,0.06424033700000001,-0.262154112,4.5,88.4,0.02,0.137269452,0.292481698,0.20563877100000003,0.20468584199999998,0.059238016,0.10068622099999999
200703,0.109272729,0.119759795,4.4,87.1,0.02,0.14904711,0.273837966,0.21843683100000003,0.208181929,0.053159816,0.09733634699999999
200704,0.077932845,0.519488287,4.5,88.3,0.0101,0.15660232,0.264322705,0.210894544,0.200216098,0.054090889,0.113873443
200705,0.073282295,0.390590745,4.4,85.3,0.0101,0.11061206800000001,0.343727895,0.20610926100000002,0.20071639800000002,0.052519264,0.086315116
200706,0.023271009,-0.213795866,4.6,90.4,0.0101,0.135813929,0.337268102,0.177799426,0.19824877300000002,0.057250071,0.093619699
200707,-0.00305706,-0.38378254,4.7,83.4,-0.0043,0.164926084,0.328983243,0.163107844,0.19714784300000002,0.057129702000000004,0.08870528400000001
200708,-0.021981826,0.15436285800000002,4.6,83.4,-0.0043,0.18193790899999998,0.325399576,0.159969208,0.164650979,0.060299427,0.107742901
200709,0.03306215,0.42952809999999997,4.7,80.9,-0.0043,0.18193479699999998,0.319941721,0.17410402100000003,0.153849519,0.066978812,0.10319113099999999
200710,0.02566997,0.17786806,4.7,76.1,-0.027000000000000003,0.18441696600000002,0.329929176,0.17863748100000001,0.144196106,0.062238914000000006,0.100581357
200711,0.071304517,-0.528521007,4.7,75.5,-0.027000000000000003,0.180544457,0.318471365,0.165360368,0.173474032,0.066897393,0.09525238400000001
200712,-0.008081347,-0.10354210800000001,5.0,78.4,-0.027000000000000003,0.164663292,0.328727356,0.187249947,0.131861634,0.10105389,0.08644388199999999
