edate,inflation,spyield,unemployment,umcsent4,homeindex,genre,gross
200601,0.0916186,0.30560127,4.7,86.7,0.0914,Action,64724295
200602,0.026267048,0.005437892,4.8,88.9,0.0914,Action,8357325
200603,0.06854839,0.13314973,4.7,87.4,0.0914,Action,125928240
200604,0.0982292,0.14586784,4.7,79.1,0.071,Action,2220
200605,0.05965203,-0.371003,4.6,84.9,0.071,Action,368533435
200606,0.025721353,0.001039155,4.6,84.7,0.071,Action,65454326
200607,0.035538007,0.061030544,4.7,82.0,0.0455,Action,63520641
200609,-0.058929447,0.29479557,4.5,93.6,0.0455,Action,94964871
200610,-0.065142296,0.37809604,4.4,92.1,0.0288,Action,21727955
200611,-0.019847833,0.19759989,4.5,91.7,0.0288,Action,170008586
200612,0.017892644,0.15138939,4.4,96.9,0.0288,Action,114811324
200601,0.0916186,0.30560127,4.7,86.7,0.0914,Adventure,98665890
200602,0.026267048,0.005437892,4.8,88.9,0.0914,Adventure,230058104
200603,0.06854839,0.13314973,4.7,87.4,0.0914,Adventure,195330621
200604,0.0982292,0.14586784,4.7,79.1,0.071,Adventure,110323204
200605,0.05965203,-0.371003,4.6,84.9,0.071,Adventure,223811794
200606,0.025721353,0.001039155,4.6,84.7,0.071,Adventure,472629729
200607,0.035538007,0.061030544,4.7,82.0,0.0455,Adventure,525119357
200608,0.02559055,0.25529033,4.7,85.4,0.0455,Adventure,84768328
200609,-0.058929447,0.29479557,4.5,93.6,0.0455,Adventure,100385675
200610,-0.065142296,0.37809604,4.4,92.1,0.0288,Adventure,463002
200611,-0.019847833,0.19759989,4.5,91.7,0.0288,Adventure,347166111
200612,0.017892644,0.15138939,4.4,96.9,0.0288,Adventure,342548655
200601,0.0916186,0.30560127,4.7,86.7,0.0914,Comedy,116814275
200602,0.026267048,0.005437892,4.8,88.9,0.0914,Comedy,111890362
200603,0.06854839,0.13314973,4.7,87.4,0.0914,Comedy,117673409
200604,0.0982292,0.14586784,4.7,79.1,0.071,Comedy,193954300
200605,0.05965203,-0.371003,4.6,84.9,0.071,Comedy,7890525
200606,0.025721353,0.001039155,4.6,84.7,0.071,Comedy,365628067
200607,0.035538007,0.061030544,4.7,82.0,0.0455,Comedy,244317390
200608,0.02559055,0.25529033,4.7,85.4,0.0455,Comedy,230249880
200609,-0.058929447,0.29479557,4.5,93.6,0.0455,Comedy,27378041
200610,-0.065142296,0.37809604,4.4,92.1,0.0288,Comedy,78573252
200611,-0.019847833,0.19759989,4.5,91.7,0.0288,Comedy,238242495
200612,0.017892644,0.15138939,4.4,96.9,0.0288,Comedy,5459147
200601,0.0916186,0.30560127,4.7,86.7,0.0914,Drama,97941756
200602,0.026267048,0.005437892,4.8,88.9,0.0914,Drama,28762484
200603,0.06854839,0.13314973,4.7,87.4,0.0914,Drama,6805199
200604,0.0982292,0.14586784,4.7,79.1,0.071,Drama,99807348
200605,0.05965203,-0.371003,4.6,84.9,0.071,Drama,9183454
200606,0.025721353,0.001039155,4.6,84.7,0.071,Drama,77395457
200607,0.035538007,0.061030544,4.7,82.0,0.0455,Drama,3509267
200608,0.02559055,0.25529033,4.7,85.4,0.0455,Drama,264278360
200609,-0.058929447,0.29479557,4.5,93.6,0.0455,Drama,190700008
200610,-0.065142296,0.37809604,4.4,92.1,0.0288,Drama,260127952
200611,-0.019847833,0.19759989,4.5,91.7,0.0288,Drama,36027726
200612,0.017892644,0.15138939,4.4,96.9,0.0288,Drama,510755489
200601,0.0916186,0.30560127,4.7,86.7,0.0914,Horror,47326473
200602,0.026267048,0.005437892,4.8,88.9,0.0914,Horror,102165136
200603,0.06854839,0.13314973,4.7,87.4,0.0914,Horror,72667793
200604,0.0982292,0.14586784,4.7,79.1,0.071,Horror,48009082
200605,0.05965203,-0.371003,4.6,84.9,0.071,Horror,31337254
200606,0.025721353,0.001039155,4.6,84.7,0.071,Horror,54607383
200608,0.02559055,0.25529033,4.7,85.4,0.0455,Horror,20320725
200609,-0.058929447,0.29479557,4.5,93.6,0.0455,Horror,80347
200610,-0.065142296,0.37809604,4.4,92.1,0.0288,Horror,158918312
200611,-0.019847833,0.19759989,4.5,91.7,0.0288,Horror,2310680
200612,0.017892644,0.15138939,4.4,96.9,0.0288,Horror,53870353
200602,0.026267048,0.005437892,4.8,88.9,0.0914,Thriller/Suspense,48751209
200603,0.06854839,0.13314973,4.7,87.4,0.0914,Thriller/Suspense,94625521
200604,0.0982292,0.14586784,4.7,79.1,0.071,Thriller/Suspense,58776163
200605,0.05965203,-0.371003,4.6,84.9,0.071,Thriller/Suspense,217869446
200607,0.035538007,0.061030544,4.7,82.0,0.0455,Thriller/Suspense,47908175
200608,0.02559055,0.25529033,4.7,85.4,0.0455,Thriller/Suspense,60156998
200609,-0.058929447,0.29479557,4.5,93.6,0.0455,Thriller/Suspense,70451064
200610,-0.065142296,0.37809604,4.4,92.1,0.0288,Thriller/Suspense,57389664
200611,-0.019847833,0.19759989,4.5,91.7,0.0288,Thriller/Suspense,71868608
200612,0.017892644,0.15138939,4.4,96.9,0.0288,Thriller/Suspense,42600020
200701,0.036684863,0.16870852,4.6,91.3,0.02,Action,75234
200702,0.06424034,-0.2621541,4.5,88.4,0.02,Action,117092808
200703,0.109272726,0.1197598,4.4,87.1,0.02,Action,266965960
200704,0.07793284,0.5194883,4.5,88.3,0.0101,Action,48216189
200706,0.02327101,-0.21379587,4.6,90.4,0.0101,Action,271159428
200707,-0.00305706,-0.38378254,4.7,83.4,-0.0043,Action,324747845
200708,-0.021981826,0.15436286,4.6,83.4,-0.0043,Action,182141906
200709,0.03306215,0.4295281,4.7,80.9,-0.0043,Action,72118466
200711,0.071304515,-0.528521,4.7,75.5,-0.027,Action,113968315
200712,-0.008081347,-0.103542104,5.0,78.4,-0.027,Action,41797066
200701,0.036684863,0.16870852,4.6,91.3,0.02,Adventure,30981795
200703,0.109272726,0.1197598,4.4,87.1,0.02,Adventure,119293218
200705,0.073282294,0.39059076,4.4,85.3,0.0101,Adventure,968670672
200706,0.02327101,-0.21379587,4.6,90.4,0.0101,Adventure,382457813
200707,-0.00305706,-0.38378254,4.7,83.4,-0.0043,Adventure,475272274
200708,-0.021981826,0.15436286,4.6,83.4,-0.0043,Adventure,115697710
200709,0.03306215,0.4295281,4.7,80.9,-0.0043,Adventure,11902715
200710,0.02566997,0.17786805,4.7,76.1,-0.027,Adventure,10037651
200711,0.071304515,-0.528521,4.7,75.5,-0.027,Adventure,208990422
200712,-0.008081347,-0.103542104,5.0,78.4,-0.027,Adventure,548028091
200701,0.036684863,0.16870852,4.6,91.3,0.02,Comedy,83539966
200702,0.06424034,-0.2621541,4.5,88.4,0.02,Comedy,118064735
200703,0.109272726,0.1197598,4.4,87.1,0.02,Comedy,287240690
200704,0.07793284,0.5194883,4.5,88.3,0.0101,Comedy,106358269
200705,0.073282294,0.39059076,4.4,85.3,0.0101,Comedy,9054359
200706,0.02327101,-0.21379587,4.6,90.4,0.0101,Comedy,101307967
200707,-0.00305706,-0.38378254,4.7,83.4,-0.0043,Comedy,128538786
200708,-0.021981826,0.15436286,4.6,83.4,-0.0043,Comedy,233518685
200709,0.03306215,0.4295281,4.7,80.9,-0.0043,Comedy,130771316
200710,0.02566997,0.17786805,4.7,76.1,-0.027,Comedy,76122178
200711,0.071304515,-0.528521,4.7,75.5,-0.027,Comedy,104218743
200712,-0.008081347,-0.103542104,5.0,78.4,-0.027,Comedy,256835004
200701,0.036684863,0.16870852,4.6,91.3,0.02,Drama,115919971
200702,0.06424034,-0.2621541,4.5,88.4,0.02,Drama,128532340
200703,0.109272726,0.1197598,4.4,87.1,0.02,Drama,96015927
200704,0.07793284,0.5194883,4.5,88.3,0.0101,Drama,9712563
200705,0.073282294,0.39059076,4.4,85.3,0.0101,Drama,54188315
200706,0.02327101,-0.21379587,4.6,90.4,0.0101,Drama,35964448
200707,-0.00305706,-0.38378254,4.7,83.4,-0.0043,Drama,6882599
200708,-0.021981826,0.15436286,4.6,83.4,-0.0043,Drama,13928060
200709,0.03306215,0.4295281,4.7,80.9,-0.0043,Drama,75706207
