edate,inflation,spyield,unemployment,umcsent4,homeindex,genre,gross
200601,0,0,5,87,0,Action,64724295
200602,0,0,5,89,0,Action,8357325
200603,0,0,5,87,0,Action,125928240
200604,0,0,5,79,0,Action,2220
200605,0,0,5,85,0,Action,368533435
200606,0,0,5,85,0,Action,65454326
200607,0,0,5,82,0,Action,63520641
200609,0,0,4,94,0,Action,94964871
200610,0,0,4,92,0,Action,21727955
200611,0,0,4,92,0,Action,170008586
200612,0,0,4,97,0,Action,114811324
200601,0,0,5,87,0,Adventure,98665890
200602,0,0,5,89,0,Adventure,230058104
200603,0,0,5,87,0,Adventure,195330621
200604,0,0,5,79,0,Adventure,110323204
200605,0,0,5,85,0,Adventure,223811794
200606,0,0,5,85,0,Adventure,472629729
200607,0,0,5,82,0,Adventure,525119357
200608,0,0,5,85,0,Adventure,84768328
200609,0,0,4,94,0,Adventure,100385675
200610,0,0,4,92,0,Adventure,463002
200611,0,0,4,92,0,Adventure,347166111
200612,0,0,4,97,0,Adventure,342548655
200601,0,0,5,87,0,Comedy,116814275
200602,0,0,5,89,0,Comedy,111890362
200603,0,0,5,87,0,Comedy,117673409
200604,0,0,5,79,0,Comedy,193954300
200605,0,0,5,85,0,Comedy,7890525
200606,0,0,5,85,0,Comedy,365628067
200607,0,0,5,82,0,Comedy,244317390
200608,0,0,5,85,0,Comedy,230249880
200609,0,0,4,94,0,Comedy,27378041
200610,0,0,4,92,0,Comedy,78573252
200611,0,0,4,92,0,Comedy,238242495
200612,0,0,4,97,0,Comedy,5459147
200601,0,0,5,87,0,Drama,97941756
200602,0,0,5,89,0,Drama,28762484
200603,0,0,5,87,0,Drama,6805199
200604,0,0,5,79,0,Drama,99807348
200605,0,0,5,85,0,Drama,9183454
200606,0,0,5,85,0,Drama,77395457
200607,0,0,5,82,0,Drama,3509267
200608,0,0,5,85,0,Drama,264278360
200609,0,0,4,94,0,Drama,190700008
200610,0,0,4,92,0,Drama,260127952
200611,0,0,4,92,0,Drama,36027726
200612,0,0,4,97,0,Drama,510755489
200601,0,0,5,87,0,Horror,47326473
200602,0,0,5,89,0,Horror,102165136
200603,0,0,5,87,0,Horror,72667793
200604,0,0,5,79,0,Horror,48009082
200605,0,0,5,85,0,Horror,31337254
200606,0,0,5,85,0,Horror,54607383
200608,0,0,5,85,0,Horror,20320725
200609,0,0,4,94,0,Horror,80347
200610,0,0,4,92,0,Horror,158918312
200611,0,0,4,92,0,Horror,2310680
200612,0,0,4,97,0,Horror,53870353
200602,0,0,5,89,0,Thriller/Suspense,48751209
200603,0,0,5,87,0,Thriller/Suspense,94625521
200604,0,0,5,79,0,Thriller/Suspense,58776163
200605,0,0,5,85,0,Thriller/Suspense,217869446
200607,0,0,5,82,0,Thriller/Suspense,47908175
200608,0,0,5,85,0,Thriller/Suspense,60156998
200609,0,0,4,94,0,Thriller/Suspense,70451064
200610,0,0,4,92,0,Thriller/Suspense,57389664
200611,0,0,4,92,0,Thriller/Suspense,71868608
200612,0,0,4,97,0,Thriller/Suspense,42600020
200701,0,0,5,91,0,Action,75234
200702,0,0,4,88,0,Action,117092808
200703,0,0,4,87,0,Action,266965960
200704,0,1,4,88,0,Action,48216189
200706,0,0,5,90,0,Action,271159428
200707,0,0,5,83,0,Action,324747845
200708,0,0,5,83,0,Action,182141906
200709,0,0,5,81,0,Action,72118466
200711,0,-1,5,76,0,Action,113968315
200712,0,0,5,78,0,Action,41797066
200701,0,0,5,91,0,Adventure,30981795
200703,0,0,4,87,0,Adventure,119293218
200705,0,0,4,85,0,Adventure,968670672
200706,0,0,5,90,0,Adventure,382457813
200707,0,0,5,83,0,Adventure,475272274
200708,0,0,5,83,0,Adventure,115697710
200709,0,0,5,81,0,Adventure,11902715
200710,0,0,5,76,0,Adventure,10037651
200711,0,-1,5,76,0,Adventure,208990422
200712,0,0,5,78,0,Adventure,548028091
200701,0,0,5,91,0,Comedy,83539966
200702,0,0,4,88,0,Comedy,118064735
200703,0,0,4,87,0,Comedy,287240690
200704,0,1,4,88,0,Comedy,106358269
200705,0,0,4,85,0,Comedy,9054359
200706,0,0,5,90,0,Comedy,101307967
200707,0,0,5,83,0,Comedy,128538786
200708,0,0,5,83,0,Comedy,233518685
200709,0,0,5,81,0,Comedy,130771316
200710,0,0,5,76,0,Comedy,76122178
200711,0,-1,5,76,0,Comedy,104218743
200712,0,0,5,78,0,Comedy,256835004
200701,0,0,5,91,0,Drama,115919971
200702,0,0,4,88,0,Drama,128532340
200703,0,0,4,87,0,Drama,96015927
200704,0,1,4,88,0,Drama,9712563
200705,0,0,4,85,0,Drama,54188315
200706,0,0,5,90,0,Drama,35964448
200707,0,0,5,83,0,Drama,6882599
200708,0,0,5,83,0,Drama,13928060
200709,0,0,5,81,0,Drama,75706207
200710,0,0,5,76,0,Drama,141871821
200711,0,-1,5,76,0,Drama,262634778
200712,0,0,5,78,0,Drama,210413790
200701,0,0,5,91,0,Horror,14124322
200702,0,0,4,88,0,Horror,36630357
200703,0,0,4,87,0,Horror,37447892
200704,0,1,4,88,0,Horror,50211839
200705,0,0,4,85,0,Horror,28638916
200706,0,0,5,90,0,Horror,90025843
200707,0,0,5,83,0,Horror,2686800
200708,0,0,5,83,0,Horror,59288116
200709,0,0,5,81,0,Horror,50856881
200710,0,0,5,76,0,Horror,102869091
200711,0,-1,5,76,0,Horror,33332781
200712,0,0,5,78,0,Horror,376561811
200701,0,0,5,91,0,Thriller/Suspense,17399218
200702,0,0,4,88,0,Thriller/Suspense,98692213
200703,0,0,4,87,0,Thriller/Suspense,94864090
200704,0,1,4,88,0,Thriller/Suspense,188907727
200705,0,0,4,85,0,Thriller/Suspense,1103969
200706,0,0,5,90,0,Thriller/Suspense,54162111
200707,0,0,5,83,0,Thriller/Suspense,11404400
200708,0,0,5,83,0,Thriller/Suspense,245724812
200709,0,0,5,81,0,Thriller/Suspense,17181265
200710,0,0,5,76,0,Thriller/Suspense,10920491
200711,0,-1,5,76,0,Thriller/Suspense,14376195
200712,0,0,5,78,0,Thriller/Suspense,324233
200801,0,-1,5,71,0,Action,127680536
200802,0,0,5,70,0,Action,4070
200803,0,0,5,63,0,Action,37229987
200804,0,1,5,60,0,Action,52532650
200805,0,0,5,56,0,Action,46593941
200806,0,-1,6,61,0,Action,134508551
200807,0,0,6,63,0,Action,858636202
200808,0,0,6,70,0,Action,61636382
200809,0,-1,6,58,0,Action,15306877
200810,0,-2,6,55,0,Action,46390019
200811,0,-1,7,60,0,Action,201083489
200812,0,0,7,61,0,Action,27857165
200801,0,-1,5,71,0,Adventure,12981269
200802,0,0,5,70,0,Adventure,221604809
200803,0,0,5,63,0,Adventure,295130743
200804,0,1,5,60,0,Adventure,48067430
200805,0,0,5,56,0,Adventure,777326735
200806,0,-1,6,61,0,Adventure,574053766
200807,0,0,6,63,0,Adventure,144642672
200808,0,0,6,70,0,Adventure,196431347
200809,0,-1,6,58,0,Adventure,19763629
200810,0,-2,6,55,0,Adventure,103573253
200811,0,-1,7,60,0,Adventure,294283884
200812,0,0,7,61,0,Adventure,241261938
200801,0,-1,5,71,0,Comedy,97267313
200802,0,0,5,70,0,Comedy,112393452
200803,0,0,5,63,0,Comedy,122250209
200804,0,1,5,60,0,Comedy,110606504
200805,0,0,5,56,0,Comedy,154864117
200806,0,-1,6,61,0,Comedy,266885089
200807,0,0,6,63,0,Comedy,104811658
200808,0,0,6,70,0,Comedy,318861422
200809,0,-1,6,58,0,Comedy,86663340
200810,0,-2,6,55,0,Comedy,55608168
200811,0,-1,7,60,0,Comedy,200140339
200812,0,0,7,61,0,Comedy,248348463
200801,0,-1,5,71,0,Drama,9639949
200802,0,0,5,70,0,Drama,106772576
200803,0,0,5,63,0,Drama,28434672
200804,0,1,5,60,0,Drama,5996344
200805,0,0,5,56,0,Drama,8148326
200806,0,-1,6,61,0,Drama,28259356
200807,0,0,6,63,0,Drama,6795849
200808,0,0,6,70,0,Drama,25097172
200809,0,-1,6,58,0,Drama,104719083
200810,0,-2,6,55,0,Drama,146113421
200811,0,-1,7,60,0,Drama,428662377
200812,0,0,7,61,0,Drama,509067540
200801,0,-1,5,71,0,Horror,80670123
200802,0,0,5,70,0,Horror,3619899
200803,0,0,5,63,0,Horror,77795028
200804,0,1,5,60,0,Horror,183937938
200805,0,0,5,56,0,Horror,34770
200806,0,-1,6,61,0,Horror,164841
200808,0,0,6,70,0,Horror,92120856
200810,0,-2,6,55,0,Horror,312188309
200811,0,-1,7,60,0,Horror,1725144
200801,0,-1,5,71,0,Thriller/Suspense,28687835
200802,0,0,5,70,0,Thriller/Suspense,103764439
200803,0,0,5,63,0,Thriller/Suspense,112570605
200804,0,1,5,60,0,Thriller/Suspense,48085402
200805,0,0,5,56,0,Thriller/Suspense,53078070
200806,0,-1,6,61,0,Thriller/Suspense,64506874
200807,0,0,6,63,0,Thriller/Suspense,8412115
200808,0,0,6,70,0,Thriller/Suspense,24018680
200809,0,-1,6,58,0,Thriller/Suspense,180785659
200810,0,-2,6,55,0,Thriller/Suspense,78831340
200811,0,-1,7,60,0,Thriller/Suspense,29784
200812,0,0,7,61,0,Thriller/Suspense,86146943
200901,0,-1,8,56,0,Action,45983163
200902,0,-1,8,57,0,Action,8742261
200903,0,1,9,65,0,Action,119744493
200904,0,1,9,69,0,Action,178162095
200905,0,1,9,71,0,Action,305206817
200906,0,0,10,66,0,Action,467564182
200907,0,1,10,66,0,Action,256682
200908,0,0,10,74,0,Action,271452362
200909,0,0,10,71,0,Action,59112679
200910,0,0,10,67,0,Action,24743880
200911,0,1,10,72,0,Action,204862097
200912,0,0,10,74,0,Action,760507625
200901,0,-1,8,56,0,Adventure,236818149
200902,0,-1,8,57,0,Adventure,111209207
200903,0,1,9,65,0,Adventure,265573803
200904,0,1,9,69,0,Adventure,9362785
200905,0,1,9,71,0,Adventure,729624987
200906,0,0,10,66,0,Adventure,16222392
200907,0,1,10,66,0,Adventure,643407962
200908,0,0,10,74,0,Adventure,36011875
200909,0,0,10,71,0,Adventure,156620169
200910,0,0,10,67,0,Adventure,127486980
200911,0,1,10,72,0,Adventure,167597878
200912,0,0,10,74,0,Adventure,436498407
200901,0,-1,8,56,0,Comedy,59071529
200902,0,-1,8,57,0,Comedy,109126402
200903,0,1,9,65,0,Comedy,129254121
200904,0,1,9,69,0,Comedy,88707256
200905,0,1,9,71,0,Comedy,37991753
200906,0,0,10,66,0,Comedy,379575744
200907,0,1,10,66,0,Comedy,140082133
200908,0,0,10,74,0,Comedy,118983808
200909,0,0,10,71,0,Comedy,66999055
200910,0,0,10,67,0,Comedy,226743056
200911,0,1,10,72,0,Comedy,59250432
200912,0,0,10,74,0,Comedy,6575279
200901,0,-1,8,56,0,Drama,80214894
200902,0,-1,8,57,0,Drama,10754955
200903,0,1,9,65,0,Drama,4482037
200904,0,1,9,69,0,Drama,116409834
200905,0,1,9,71,0,Drama,4074849
200906,0,0,10,66,0,Drama,71334872
200907,0,1,10,66,0,Drama,141890187
200908,0,0,10,74,0,Drama,72135146
200909,0,0,10,71,0,Drama,36341842
200910,0,0,10,67,0,Drama,31319039
200911,0,1,10,72,0,Drama,751062489
200912,0,0,10,74,0,Drama,265226882
200901,0,-1,8,56,0,Horror,245759272
200902,0,-1,8,57,0,Horror,130004228
200903,0,1,9,65,0,Horror,176360500
200905,0,1,9,71,0,Horror,84210526
200906,0,0,10,66,0,Horror,8980
200907,0,1,10,66,0,Horror,16077818
200908,0,0,10,74,0,Horror,199772072
200909,0,0,10,71,0,Horror,260429890
200910,0,0,10,67,0,Horror,55589014
200901,0,-1,8,56,0,Thriller/Suspense,145038999
200902,0,-1,8,57,0,Thriller/Suspense,58058770
200903,0,1,9,65,0,Thriller/Suspense,82625643
