date,Action,Adventure,Comedy,Drama,Horror,Thriller/Suspense
200601,0.152123266,0.231897117,0.274551759,0.230195165,0.111232693,0
200602,0.076488629,0.344048856,0.239366673,0.132611095,0.156460794,0.051023953
200603,0.183583917,0.28309632,0.225793837,0.100863365,0.115545368,0.091117193
200604,0.06912678,0.223196677,0.331895373,0.211192565,0.101816696,0.062771908
200605,0.33740223,0.25113156,0.097114661,0.083424443,0.061259881,0.169667225
200606,0.159297289,0.33490674,0.229974745,0.080503207,0.089617487,0.105700532
200607,0.142533885,0.396442596,0.234930571,0.050864737,0.069662593,0.105565617
200608,0.136647336,0.353319629,0.254189753,0.101038879,0.04974193,0.105062473
200609,0.133641421,0.342189893,0.241222751,0.145460638,0.034816957,0.102668341
200610,0.136499774,0.312730511,0.212024741,0.178946023,0.058952144,0.100846807
200611,0.092236256,0.339616508,0.262809301,0.184624734,0.052419764,0.068293437
200612,0.102408188,0.308402945,0.181507182,0.278662146,0.051861161,0.077158377
200701,0.102481357,0.231282437,0.169304167,0.351603631,0.063701814,0.081626594
200702,0.138024754,0.218619204,0.146693694,0.33052219,0.070767084,0.095373074
200703,0.165403067,0.201269896,0.19424541,0.27477205,0.072634116,0.091675461
200704,0.179204871,0.209894779,0.209623792,0.224131375,0.048625077,0.128520106
200705,0.130338973,0.348141574,0.145240312,0.217991211,0.05262608,0.10566185
200706,0.173149386,0.36952884,0.173655504,0.108375897,0.063272909,0.112017464
200707,0.216436025,0.409575519,0.157996568,0.06973903,0.051708442,0.094544416
200708,0.214283446,0.404051826,0.169747682,0.042473618,0.052589164,0.116854264
200709,0.197078426,0.428649163,0.15565382,0.043080354,0.06179836,0.113739877
200710,0.189055377,0.436751627,0.151061771,0.073059152,0.074354304,0.075717769
200711,0.231053135,0.288621976,0.18560193,0.128688013,0.081254892,0.084780055
200712,0.157282812,0.293241706,0.199073233,0.152287524,0.133912563,0.064202162
200801,0.131820946,0.222511217,0.220328213,0.175087795,0.172485287,0.077766543
200802,0.094142298,0.268351847,0.205883857,0.213676204,0.171544441,0.046401353
200803,0.078371371,0.316919936,0.187958088,0.18568053,0.164927107,0.066142969
200804,0.088876971,0.317870349,0.191362704,0.148573863,0.18001445,0.073301663
200805,0.067937941,0.422757293,0.189752973,0.082058604,0.160520425,0.076972765
200806,0.096357701,0.466415769,0.208954476,0.045271884,0.083706526,0.099293643
200807,0.230392833,0.420360608,0.177829174,0.037614764,0.054166529,0.079636091
200808,0.234821397,0.401309441,0.212572382,0.020252575,0.069798245,0.061245961
200809,0.243264372,0.366241377,0.216940368,0.037245726,0.057477752,0.078830404
200810,0.228060845,0.356049266,0.193671834,0.062577201,0.079318061,0.080322792
