Date1,Date2,Total Gross,Genre
01/06,Jan-2006,64724295,Action
02/06,Feb-2006,8357325,Action
03/06,Mar-2006,125928240,Action
04/06,Apr-2006,2220,Action
05/06,May-2006,368533435,Action
06/06,Jun-2006,65454326,Action
07/06,Jul-2006,63520641,Action
08/06,Aug-2006,,Action
09/06,Sep-2006,94964871,Action
10/06,Oct-2006,21727955,Action
11/06,Nov-2006,170008586,Action
12/06,Dec-2006,114811324,Action
01/06,Jan-2006,98665890,Adventure
02/06,Feb-2006,230058104,Adventure
03/06,Mar-2006,195330621,Adventure
04/06,Apr-2006,110323204,Adventure
05/06,May-2006,223811794,Adventure
06/06,Jun-2006,472629729,Adventure
07/06,Jul-2006,525119357,Adventure
08/06,Aug-2006,84768328,Adventure
09/06,Sep-2006,100385675,Adventure
10/06,Oct-2006,463002,Adventure
11/06,Nov-2006,347166111,Adventure
12/06,Dec-2006,342548655,Adventure
01/06,Jan-2006,116814275,Comedy
02/06,Feb-2006,111890362,Comedy
03/06,Mar-2006,117673409,Comedy
04/06,Apr-2006,193954300,Comedy
05/06,May-2006,7890525,Comedy
06/06,Jun-2006,365628067,Comedy
07/06,Jul-2006,244317390,Comedy
08/06,Aug-2006,230249880,Comedy
09/06,Sep-2006,27378041,Comedy
10/06,Oct-2006,78573252,Comedy
11/06,Nov-2006,238242495,Comedy
12/06,Dec-2006,5459147,Comedy
01/06,Jan-2006,97941756,Drama
02/06,Feb-2006,28762484,Drama
03/06,Mar-2006,6805199,Drama
04/06,Apr-2006,99807348,Drama
05/06,May-2006,9183454,Drama
06/06,Jun-2006,77395457,Drama
07/06,Jul-2006,3509267,Drama
08/06,Aug-2006,264278360,Drama
09/06,Sep-2006,190700008,Drama
10/06,Oct-2006,260127952,Drama
11/06,Nov-2006,36027726,Drama
12/06,Dec-2006,510755489,Drama
01/06,Jan-2006,47326473,Horror
02/06,Feb-2006,102165136,Horror
03/06,Mar-2006,72667793,Horror
04/06,Apr-2006,48009082,Horror
05/06,May-2006,31337254,Horror
06/06,Jun-2006,54607383,Horror
07/06,Jul-2006,,Horror
08/06,Aug-2006,20320725,Horror
09/06,Sep-2006,80347,Horror
10/06,Oct-2006,158918312,Horror
11/06,Nov-2006,2310680,Horror
12/06,Dec-2006,53870353,Horror
01/06,Jan-2006,,Thriller/Suspense
02/06,Feb-2006,48751209,Thriller/Suspense
03/06,Mar-2006,94625521,Thriller/Suspense
04/06,Apr-2006,58776163,Thriller/Suspense
05/06,May-2006,217869446,Thriller/Suspense
06/06,Jun-2006,,Thriller/Suspense
07/06,Jul-2006,47908175,Thriller/Suspense
08/06,Aug-2006,60156998,Thriller/Suspense
09/06,Sep-2006,70451064,Thriller/Suspense
10/06,Oct-2006,57389664,Thriller/Suspense
11/06,Nov-2006,71868608,Thriller/Suspense
12/06,Dec-2006,42600020,Thriller/Suspense
01/07,Jan-2007,75234,Action
02/07,Feb-2007,117092808,Action
03/07,Mar-2007,266965960,Action
04/07,Apr-2007,48216189,Action
05/07,May-2007,,Action
06/07,Jun-2007,271159428,Action
07/07,Jul-2007,324747845,Action
08/07,Aug-2007,182141906,Action
09/07,Sep-2007,72118466,Action
10/07,Oct-2007,,Action
11/07,Nov-2007,113968315,Action
12/07,Dec-2007,41797066,Action
01/07,Jan-2007,30981795,Adventure
02/07,Feb-2007,,Adventure
03/07,Mar-2007,119293218,Adventure
04/07,Apr-2007,,Adventure
05/07,May-2007,968670672,Adventure
06/07,Jun-2007,382457813,Adventure
07/07,Jul-2007,475272274,Adventure
08/07,Aug-2007,115697710,Adventure
09/07,Sep-2007,11902715,Adventure
10/07,Oct-2007,10037651,Adventure
11/07,Nov-2007,208990422,Adventure
12/07,Dec-2007,548028091,Adventure
01/07,Jan-2007,83539966,Comedy
02/07,Feb-2007,118064735,Comedy
03/07,Mar-2007,287240690,Comedy
04/07,Apr-2007,106358269,Comedy
05/07,May-2007,9054359,Comedy
06/07,Jun-2007,101307967,Comedy
07/07,Jul-2007,128538786,Comedy
08/07,Aug-2007,233518685,Comedy
09/07,Sep-2007,130771316,Comedy
10/07,Oct-2007,76122178,Comedy
11/07,Nov-2007,104218743,Comedy
12/07,Dec-2007,256835004,Comedy
01/07,Jan-2007,115919971,Drama
02/07,Feb-2007,128532340,Drama
03/07,Mar-2007,96015927,Drama
04/07,Apr-2007,9712563,Drama
05/07,May-2007,54188315,Drama
06/07,Jun-2007,35964448,Drama
07/07,Jul-2007,6882599,Drama
08/07,Aug-2007,13928060,Drama
09/07,Sep-2007,75706207,Drama
10/07,Oct-2007,141871821,Drama
11/07,Nov-2007,262634778,Drama
12/07,Dec-2007,210413790,Drama
01/07,Jan-2007,14124322,Horror
02/07,Feb-2007,36630357,Horror
03/07,Mar-2007,37447892,Horror
04/07,Apr-2007,50211839,Horror
05/07,May-2007,28638916,Horror
06/07,Jun-2007,90025843,Horror
07/07,Jul-2007,2686800,Horror
08/07,Aug-2007,59288116,Horror
09/07,Sep-2007,50856881,Horror
10/07,Oct-2007,102869091,Horror
11/07,Nov-2007,33332781,Horror
12/07,Dec-2007,376561811,Horror
01/07,Jan-2007,17399218,Thriller/Suspense
02/07,Feb-2007,98692213,Thriller/Suspense
03/07,Mar-2007,94864090,Thriller/Suspense
