Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Der m�de Tod,6-Jul-24,,Not Rated,"$12,156 ","1,405",Thriller/Suspense
City Lights,30-Jan-31,United Artists,G,"$18,165 ","2,640",Comedy
Went the Day Well?,28-Jun-44,,Not Rated,"$39,523 ","4,983",Thriller/Suspense
The Fallen Idol,15-Nov-49,Rialto Pictures,Not Rated,"$141,502 ","21,603",Thriller/Suspense
The Fallen Idol,15-Nov-49,Rialto Pictures,Not Rated,"$56,822 ","6,569",Thriller/Suspense
The Third Man,2-Feb-50,Selznick Releasin�,Not Rated,"$437,795 ","51,932",Thriller/Suspense
The Rules of the Game,8-Apr-50,,Not Rated,"$272,256 ","39,572",Comedy
Sudden Fear,7-Aug-52,RKO Radio Pictures,Not Rated,"$24,476 ","2,829",Thriller/Suspense
The Earrings of Madame De...,19-Jul-54,Janus Films,Not Rated,"$137,612 ","20,001",Drama
Du rififi chez les hommes,5-Jun-56,,Not Rated,"$57,749 ","6,850",Thriller/Suspense
Le ballon rouge,11-Mar-57,Janus Films,Not Rated,"$69,139 ","10,049",Drama
Classe Tous Risques,1-Jan-63,Rialto Pictures,Not Rated,"$57,181 ","8,729",Thriller/Suspense
Becket,11-Mar-64,Paramount Pictures,PG-13,"$149,327 ","21,704",Drama
Mafioso,30-Jun-64,Rialto Pictures,Not Rated,"$398,614 ","57,938",Comedy
Marnie,22-Jul-64,,PG,"$44,261 ","5,250",Thriller/Suspense
Night of the Living Dead,1-Oct-68,Walter Reade Orga�,Not Rated,"$12,087,064 ","1,347,498",Horror
Ganja & Hess,23-Apr-73,,R,"$21,344 ","2,342",Thriller/Suspense
The Holy Mountain,29-Nov-73,Abkco Films,Not Rated,"$56,479 ","8,209",Adventure
The Exorcist,26-Dec-73,Warner Bros.,R,"$235,134 ","29,802",Horror
The Wicker Man,7-Aug-74,Warner Bros.,R,"$58,341 ","7,176",Horror
Professione: reporter,9-Apr-75,Sony Pictures Cla�,PG-13,"$110,096 ","16,808",Drama
Halloween,17-Oct-78,Compass Internati�,R,"$47,274,000 ","5,160,917",Horror
Alien,25-May-79,20th Century Fox,R,"$75,000 ","8,187",Horror
Killer of Sheep,30-Jun-79,,Not Rated,"$404,508 ","58,794",Drama
The Fog,1-Feb-80,Avco Embassy,Not Rated,"$21,445,318 ","2,354,041",Horror
The Shining,23-May-80,Warner Bros.,R,"$551,257 ","60,181",Horror
The Pit,23-Oct-81,New World,R,$560 ,64,Horror
Blade Runner,25-Jun-82,Warner Bros.,R,"$1,178,808 ","171,338",Thriller/Suspense
Mala Noche,4-May-88,Janus Films,Not Rated,"$11,352 ","1,650",Drama
The Proposition,27-Mar-98,Polygram,R,"$1,500,506 ","229,084",Drama
T-Rex: Back to the Cretaceous,23-Oct-98,IMAX Films,Not Rated,"$769,288 ","117,448",Adventure
T-Rex: Back to the Cretaceous,23-Oct-98,IMAX Films,Not Rated,"$862,313 ","125,336",Adventure
Encounter in the Third Dime�,26-Feb-99,nWave Pictures,Not Rated,"$48,877 ","7,462",Drama
Alien Adventure,14-Apr-00,nWave Pictures,Not Rated,"$48,202 ","7,359",Adventure
Haunted Castle,2-Mar-01,nWave Pictures,PG,"$541,636 ","82,692",Adventure
Haunted Castle,2-Mar-01,nWave Pictures,PG,"$617,742 ","89,788",Adventure
Trouble Every Day,30-Nov-01,Lot 47 Films,Not Rated,"$6,949 ",854,Horror
Santa vs. The Snowman,6-Nov-02,IMAX Films,Not Rated,"$1,937,203 ","295,756",Adventure
Santa vs. The Snowman,6-Nov-02,IMAX Films,Not Rated,"$2,090,777 ","303,892",Adventure
Koroshiya 1,19-May-03,Well Go USA,Not Rated,"$5,986 ",667,Horror
Koroshiya 1,19-May-03,Well Go USA,Not Rated,"$14,299 ","1,569",Horror
La face cach�e de la lune,24-Oct-03,TLA Releasing,Not Rated,"$4,426 ",675,Drama
Wasabi Tuna,7-May-04,Indican Pictures,R,"$15,190 ","2,319",Comedy
Gojira,7-May-04,Rialto Pictures,Not Rated,"$78,869 ","9,653",Horror
Therese,1-Oct-04,Luke Films,PG,"$1,070 ",163,Drama
Saw,29-Oct-04,Lionsgate,R,"$815,324 ","99,794",Horror
The Polar Express,10-Nov-04,Warner Bros.,G,"$3,862,602 ","589,710",Adventure
The Polar Express,10-Nov-04,Warner Bros.,G,"$2,601,536 ","378,130",Adventure
A Wake in Providence,15-Apr-05,Indican Pictures,R,"$9,234 ","1,409",Comedy
Pure,10-Jun-05,Indican Pictures,R,"$8,168 ","1,247",Drama
The Keeper: The Legend of O�,17-Jun-05,Arrival Pictures,PG,"$20,866 ","3,185",Drama
Edvard Munch,17-Jun-05,Shadow,Not Rated,"$2,500 ",381,Drama
On the Outs,15-Jul-05,Fader Films,R,"$11,388 ","1,738",Drama
The Aristocrats,29-Jul-05,ThinkFilm,Not Rated,"$15,907 ","2,428",Comedy
Balzac et la petite tailleu�,29-Jul-05,Empire Pictures,Not Rated,"$10,656 ","1,626",Drama
Tahara,29-Jul-05,Indican Pictures,Not Rated,$920 ,140,Drama
Boksuneun naui geot,19-Aug-05,Tartan Films,R,$98 ,14,Thriller/Suspense
Sh�jo,26-Aug-05,Indican Pictures,Not Rated,"$23,730 ","3,622",Drama
Cote d'Azur,9-Sep-05,Strand,Not Rated,$906 ,138,Comedy
Garcon Stupide,16-Sep-05,Picture This Ente�,Not Rated,"$27,225 ","4,156",Comedy
Trilogia I: To Livadi pou d�,16-Sep-05,New Yorker,Not Rated,"$4,304 ",657,Drama
Hellbent,16-Sep-05,Regent Releasing,R,"$8,039 ","1,227",Horror
Dorian Blues,23-Sep-05,TLA Releasing,Not Rated,"$10,660 ","1,627",Comedy
Roll Bounce,23-Sep-05,Fox Searchlight,PG-13,"$3,584 ",547,Comedy
Dear Wendy,23-Sep-05,WellSpring,Not Rated,"$3,644 ",556,Drama
Flightplan,23-Sep-05,Walt Disney,PG-13,"$574,725 ","87,744",Thriller/Suspense
A History of Violence,23-Sep-05,New Line,R,"$295,274 ","45,080",Thriller/Suspense
Hate Crime,23-Sep-05,Pasidg Productions,R,"$40,981 ","6,256",Thriller/Suspense
Screen Door Jesus,30-Sep-05,Indican Pictures,R,"$21,679 ","3,309",Comedy
Capote,30-Sep-05,Sony Pictures Cla�,R,"$16,827,017 ","2,569,010",Drama
Wallace & Gromit: The Curse�,5-Oct-05,Dreamworks SKG,G,"$49,071 ","7,491",Adventure
The Squid and the Whale,5-Oct-05,IDP/Goldwyn/Roadside,R,"$2,235,957 ","341,367",Drama
CSA: The Confederate States�,7-Oct-05,IFC Films,PG-13,"$657,495 ","100,380",Comedy
"Good Night, and Good Luck",7-Oct-05,Warner Independent,PG,"$7,924,184 ","1,209,799",Drama
Before the Fall,7-Oct-05,Picture This Ente�,Not Rated,"$73,600 ","11,236",Drama
In Her Shoes,7-Oct-05,20th Century Fox,PG-13,"$48,342 ","7,380",Drama
Nine Lives,14-Oct-05,Magnolia Pictures,R,"$120,479 ","18,393",Drama
Loggerheads,14-Oct-05,Strand,PG-13,"$34,358 ","5,245",Drama
Ushpizin,19-Oct-05,Picturehouse,PG,"$53,665 ","8,193",Drama
"Kiss Kiss, Bang Bang",21-Oct-05,Warner Bros.,R,"$25,479 ","3,889",Comedy
Shopgirl,21-Oct-05,Walt Disney,R,"$209,209 ","31,940",Drama
The Work and the Glory: Ame�,21-Oct-05,Vineyard Distribu�,PG-13,"$107,608 ","16,428",Drama
North Country,21-Oct-05,Warner Bros.,R,"$62,041 ","9,471",Drama
Brooklyn Lobster,21-Oct-05,Meadowbrook,R,"$53,844 ","8,220",Drama
Paradise Now,28-Oct-05,Warner Independent,PG-13,"$420,200 ","64,152",Drama
Saw II,28-Oct-05,Lionsgate,R,"$10,768 ","1,643",Horror
Chicken Little,4-Nov-05,Walt Disney,G,"$3,442,012 ","525,498",Adventure
Jarhead,4-Nov-05,Universal,R,"$192,755 ","29,428",Drama
The Dying Gaul,4-Nov-05,Holedigger Studios,R,"$14,866 ","2,269",Drama
Get Rich or Die Tryin',9-Nov-05,Paramount Pictures,R,"$176,610 ","26,963",Drama
Derailed,11-Nov-05,Weinstein Co.,R,"$340,086 ","51,921",Action
Ellie Parker,11-Nov-05,Strand,Not Rated,"$6,648 ","1,014",Comedy
Pride & Prejudice,11-Nov-05,Focus Features,PG,"$4,590,002 ","700,763",Drama
Bee Season,11-Nov-05,Fox Searchlight,PG-13,"$31,225 ","4,767",Drama
